iter	Passed	Remaining
0	3	383
1	7	352
2	10	329
3	12	309
4	16	308
5	19	299
6	22	297
7	26	299
8	29	300
9	33	301
10	37	304
11	40	296
12	42	284
13	44	274
14	46	264
15	48	253
16	49	244
17	51	235
18	52	225
19	53	215
20	54	205
21	55	195
22	55	187
23	56	178
24	57	171
25	57	164
26	58	158
27	59	152
28	59	146
29	60	141
30	61	136
31	61	131
32	62	126
33	63	122
34	63	118
35	64	114
36	65	110
37	65	107
38	66	103
39	67	100
40	67	97
41	67	93
42	68	90
43	69	88
44	69	85
45	70	82
46	71	80
47	71	77
48	72	75
49	73	73
50	73	70
51	74	68
52	74	66
53	75	64
54	76	62
55	76	60
56	77	58
57	78	56
58	78	54
59	79	52
60	79	51
61	80	49
62	81	47
63	81	46
64	82	44
65	83	42
66	83	41
67	84	39
68	85	38
69	85	36
70	86	35
71	86	33
72	87	32
73	88	31
74	88	29
75	89	28
76	90	26
77	90	25
78	91	24
79	92	23
80	92	21
81	93	20
82	94	19
83	94	18
84	95	16
85	95	15
86	96	14
87	97	13
88	97	12
89	98	10
90	99	9
91	99	8
92	100	7
93	101	6
94	101	5
95	102	4
96	103	3
97	103	2
98	104	1
99	104	0
